name,lab,size,com
＊人の死,1,＊人の死,129,01   
＊恋愛,2,＊恋愛,61,02   
＊友情,3,＊友情,48,01   
＊信用・不信,4,＊信用・不信,113,02   
＊病気,5,＊病気,137,01   
